date,temp_max,temp_min,rain,wind_speed,province,lat,lon
2015-01-01,30.1,20.5,0.0,20.0,Phnom Penh,11.55,104.91
2015-01-02,30.0,19.9,0.0,18.7,Phnom Penh,11.55,104.91
2015-01-03,31.2,22.6,0.0,16.9,Phnom Penh,11.55,104.91
2015-01-04,31.5,22.2,0.0,9.4,Phnom Penh,11.55,104.91
2015-01-05,32.2,23.6,0.0,9.7,Phnom Penh,11.55,104.91
2015-01-06,31.3,25.1,0.1,9.5,Phnom Penh,11.55,104.91
2015-01-07,31.1,24.3,1.7,9.4,Phnom Penh,11.55,104.91
2015-01-08,32.1,24.1,1.7,16.8,Phnom Penh,11.55,104.91
2015-01-09,31.6,22.8,0.0,14.8,Phnom Penh,11.55,104.91
2015-01-10,31.9,22.9,0.0,10.5,Phnom Penh,11.55,104.91
2015-01-11,32.2,22.7,0.0,9.9,Phnom Penh,11.55,104.91
2015-01-12,32.5,24.1,0.0,17.5,Phnom Penh,11.55,104.91
2015-01-13,31.0,23.0,0.0,20.5,Phnom Penh,11.55,104.91
2015-01-14,30.8,21.8,0.0,17.0,Phnom Penh,11.55,104.91
2015-01-15,30.3,20.6,0.0,14.7,Phnom Penh,11.55,104.91
2015-01-16,30.3,19.4,0.0,12.7,Phnom Penh,11.55,104.91
2015-01-17,30.4,18.8,0.0,11.8,Phnom Penh,11.55,104.91
2015-01-18,30.9,22.1,0.0,16.0,Phnom Penh,11.55,104.91
2015-01-19,30.7,21.0,0.0,14.1,Phnom Penh,11.55,104.91
2015-01-20,30.5,20.7,0.0,8.7,Phnom Penh,11.55,104.91
2015-01-21,32.1,20.0,0.0,14.4,Phnom Penh,11.55,104.91
2015-01-22,31.4,19.3,0.0,6.6,Phnom Penh,11.55,104.91
2015-01-23,31.5,19.9,0.0,9.4,Phnom Penh,11.55,104.91
2015-01-24,31.6,21.0,0.0,11.9,Phnom Penh,11.55,104.91
2015-01-25,31.9,20.6,0.0,9.3,Phnom Penh,11.55,104.91
2015-01-26,32.4,21.7,0.0,10.8,Phnom Penh,11.55,104.91
2015-01-27,32.7,22.2,0.0,10.7,Phnom Penh,11.55,104.91
2015-01-28,32.2,22.9,0.0,11.7,Phnom Penh,11.55,104.91
2015-01-29,32.7,23.1,0.0,13.0,Phnom Penh,11.55,104.91
2015-01-30,32.7,22.7,0.0,13.5,Phnom Penh,11.55,104.91
2015-01-31,32.6,21.8,0.0,10.5,Phnom Penh,11.55,104.91
2015-02-01,32.4,21.2,0.0,15.6,Phnom Penh,11.55,104.91
2015-02-02,31.8,21.4,0.0,12.3,Phnom Penh,11.55,104.91
2015-02-03,33.0,21.5,0.0,13.0,Phnom Penh,11.55,104.91
2015-02-04,32.5,22.3,0.0,8.0,Phnom Penh,11.55,104.91
2015-02-05,32.5,23.2,0.0,13.5,Phnom Penh,11.55,104.91
2015-02-06,31.8,19.7,0.0,12.8,Phnom Penh,11.55,104.91
2015-02-07,31.4,19.7,0.0,8.7,Phnom Penh,11.55,104.91
2015-02-08,31.8,19.9,0.0,11.6,Phnom Penh,11.55,104.91
2015-02-09,31.8,20.6,0.0,13.8,Phnom Penh,11.55,104.91
2015-02-10,31.4,22.7,0.0,13.2,Phnom Penh,11.55,104.91
2015-02-11,31.9,21.5,0.0,11.5,Phnom Penh,11.55,104.91
2015-02-12,31.5,21.8,0.0,13.6,Phnom Penh,11.55,104.91
2015-02-13,31.9,21.9,0.0,14.6,Phnom Penh,11.55,104.91
2015-02-14,32.3,21.4,0.0,13.3,Phnom Penh,11.55,104.91
2015-02-15,32.6,21.7,0.0,12.4,Phnom Penh,11.55,104.91
2015-02-16,33.0,22.4,0.0,12.2,Phnom Penh,11.55,104.91
2015-02-17,33.4,22.7,0.0,13.0,Phnom Penh,11.55,104.91
2015-02-18,34.5,23.7,0.0,13.3,Phnom Penh,11.55,104.91
2015-02-19,32.3,25.0,0.1,13.9,Phnom Penh,11.55,104.91
2015-02-20,31.6,24.4,0.8,7.1,Phnom Penh,11.55,104.91
2015-02-21,32.2,24.1,0.0,13.7,Phnom Penh,11.55,104.91
2015-02-22,31.9,24.4,0.0,13.2,Phnom Penh,11.55,104.91
2015-02-23,33.8,24.1,0.0,10.8,Phnom Penh,11.55,104.91
2015-02-24,33.5,24.7,0.1,12.6,Phnom Penh,11.55,104.91
2015-02-25,32.9,24.4,0.0,12.8,Phnom Penh,11.55,104.91
2015-02-26,34.1,24.6,0.0,12.8,Phnom Penh,11.55,104.91
2015-02-27,33.8,24.1,0.0,12.1,Phnom Penh,11.55,104.91
2015-02-28,34.5,25.8,0.2,11.9,Phnom Penh,11.55,104.91
2015-03-01,36.2,25.8,0.0,18.1,Phnom Penh,11.55,104.91
2015-03-02,35.5,25.6,0.0,16.8,Phnom Penh,11.55,104.91
2015-03-03,35.3,25.3,0.0,15.6,Phnom Penh,11.55,104.91
2015-03-04,34.7,24.9,0.0,13.1,Phnom Penh,11.55,104.91
2015-03-05,34.7,24.8,0.0,13.2,Phnom Penh,11.55,104.91
2015-03-06,34.7,24.9,0.0,13.2,Phnom Penh,11.55,104.91
2015-03-07,35.2,25.5,0.0,15.3,Phnom Penh,11.55,104.91
2015-03-08,33.9,25.6,0.0,15.9,Phnom Penh,11.55,104.91
2015-03-09,35.0,24.7,0.0,15.3,Phnom Penh,11.55,104.91
2015-03-10,35.4,25.0,0.0,16.9,Phnom Penh,11.55,104.91
2015-03-11,35.3,24.2,0.0,17.4,Phnom Penh,11.55,104.91
2015-03-12,35.6,24.0,0.0,19.2,Phnom Penh,11.55,104.91
2015-03-13,35.2,25.2,0.0,17.5,Phnom Penh,11.55,104.91
2015-03-14,34.9,25.5,0.0,14.6,Phnom Penh,11.55,104.91
2015-03-15,34.7,24.5,0.3,12.2,Phnom Penh,11.55,104.91
2015-03-16,34.9,26.1,0.0,12.9,Phnom Penh,11.55,104.91
2015-03-17,35.3,25.5,0.0,13.7,Phnom Penh,11.55,104.91
2015-03-18,36.7,25.4,0.0,12.6,Phnom Penh,11.55,104.91
2015-03-19,37.0,25.5,0.0,14.7,Phnom Penh,11.55,104.91
2015-03-20,34.9,26.2,0.0,13.9,Phnom Penh,11.55,104.91
2015-03-21,35.0,25.7,0.2,15.9,Phnom Penh,11.55,104.91
2015-03-22,34.7,25.6,0.2,16.3,Phnom Penh,11.55,104.91
2015-03-23,35.4,25.9,0.0,16.4,Phnom Penh,11.55,104.91
2015-03-24,35.1,25.9,0.1,14.6,Phnom Penh,11.55,104.91
2015-03-25,35.6,26.1,0.0,12.6,Phnom Penh,11.55,104.91
2015-03-26,36.3,26.4,0.0,13.6,Phnom Penh,11.55,104.91
2015-03-27,35.6,27.2,0.0,14.0,Phnom Penh,11.55,104.91
2015-03-28,35.9,27.5,0.3,9.4,Phnom Penh,11.55,104.91
2015-03-29,35.4,27.4,0.1,10.1,Phnom Penh,11.55,104.91
2015-03-30,36.0,27.0,0.7,9.7,Phnom Penh,11.55,104.91
2015-03-31,35.8,27.4,0.0,11.3,Phnom Penh,11.55,104.91
2015-04-01,35.6,27.2,2.1,12.6,Phnom Penh,11.55,104.91
2015-04-02,36.1,27.0,0.1,15.1,Phnom Penh,11.55,104.91
2015-04-03,36.9,26.6,0.0,11.6,Phnom Penh,11.55,104.91
2015-04-04,37.1,27.3,0.0,14.0,Phnom Penh,11.55,104.91
2015-04-05,35.5,27.4,0.1,12.5,Phnom Penh,11.55,104.91
2015-04-06,36.5,27.0,3.5,11.1,Phnom Penh,11.55,104.91
2015-04-07,35.8,27.0,0.0,12.3,Phnom Penh,11.55,104.91
2015-04-08,36.5,26.7,0.0,14.7,Phnom Penh,11.55,104.91
2015-04-09,35.6,26.5,0.0,15.9,Phnom Penh,11.55,104.91
2015-04-10,36.2,26.5,0.0,15.8,Phnom Penh,11.55,104.91
2015-04-11,35.5,27.5,0.4,15.2,Phnom Penh,11.55,104.91
2015-04-12,33.3,25.2,6.7,10.5,Phnom Penh,11.55,104.91
2015-04-13,33.3,24.6,8.3,17.1,Phnom Penh,11.55,104.91
2015-04-14,34.2,25.4,0.1,17.6,Phnom Penh,11.55,104.91
2015-04-15,34.4,23.6,0.0,8.4,Phnom Penh,11.55,104.91
2015-04-16,35.7,25.1,0.0,12.3,Phnom Penh,11.55,104.91
2015-04-17,36.1,25.9,0.0,12.4,Phnom Penh,11.55,104.91
2015-04-18,35.3,26.4,0.1,10.9,Phnom Penh,11.55,104.91
2015-04-19,37.8,25.8,0.0,13.5,Phnom Penh,11.55,104.91
2015-04-20,38.3,26.9,0.1,14.7,Phnom Penh,11.55,104.91
2015-04-21,38.2,27.2,0.0,9.8,Phnom Penh,11.55,104.91
2015-04-22,36.3,26.3,10.6,12.7,Phnom Penh,11.55,104.91
2015-04-23,33.0,24.9,5.0,10.8,Phnom Penh,11.55,104.91
2015-04-24,34.2,24.8,4.5,10.3,Phnom Penh,11.55,104.91
2015-04-25,33.9,25.9,2.0,13.0,Phnom Penh,11.55,104.91
2015-04-26,34.1,25.5,1.9,12.6,Phnom Penh,11.55,104.91
2015-04-27,34.1,26.0,2.6,13.0,Phnom Penh,11.55,104.91
2015-04-28,33.6,26.4,0.0,13.0,Phnom Penh,11.55,104.91
2015-04-29,34.2,26.4,0.8,11.6,Phnom Penh,11.55,104.91
2015-04-30,34.9,26.5,0.3,9.4,Phnom Penh,11.55,104.91
2015-05-01,34.7,26.5,4.1,12.0,Phnom Penh,11.55,104.91
2015-05-02,35.8,26.5,4.2,16.5,Phnom Penh,11.55,104.91
2015-05-03,35.4,26.3,4.3,12.7,Phnom Penh,11.55,104.91
2015-05-04,34.8,26.4,0.0,10.1,Phnom Penh,11.55,104.91
2015-05-05,36.3,26.6,1.2,16.3,Phnom Penh,11.55,104.91
2015-05-06,37.1,26.5,0.0,11.0,Phnom Penh,11.55,104.91
2015-05-07,36.0,27.8,0.5,15.9,Phnom Penh,11.55,104.91
2015-05-08,36.4,27.3,2.4,12.2,Phnom Penh,11.55,104.91
2015-05-09,35.9,27.7,4.8,14.0,Phnom Penh,11.55,104.91
2015-05-10,36.4,26.2,1.6,15.5,Phnom Penh,11.55,104.91
2015-05-11,36.1,27.1,1.9,15.9,Phnom Penh,11.55,104.91
2015-05-12,35.6,27.4,3.2,15.8,Phnom Penh,11.55,104.91
2015-05-13,34.0,26.5,2.9,8.0,Phnom Penh,11.55,104.91
2015-05-14,35.5,26.6,0.3,11.6,Phnom Penh,11.55,104.91
2015-05-15,36.0,26.5,1.2,16.3,Phnom Penh,11.55,104.91
2015-05-16,36.8,26.6,0.8,13.1,Phnom Penh,11.55,104.91
2015-05-17,36.9,27.1,0.6,15.3,Phnom Penh,11.55,104.91
2015-05-18,38.0,26.9,0.0,13.7,Phnom Penh,11.55,104.91
2015-05-19,37.9,27.7,1.9,15.1,Phnom Penh,11.55,104.91
2015-05-20,36.7,27.6,3.7,13.1,Phnom Penh,11.55,104.91
2015-05-21,36.7,27.6,3.5,13.8,Phnom Penh,11.55,104.91
2015-05-22,36.2,27.4,1.5,16.4,Phnom Penh,11.55,104.91
2015-05-23,35.6,27.5,0.0,15.7,Phnom Penh,11.55,104.91
2015-05-24,34.3,26.8,5.8,15.9,Phnom Penh,11.55,104.91
2015-05-25,34.8,26.5,7.4,18.6,Phnom Penh,11.55,104.91
2015-05-26,34.4,25.9,6.1,16.4,Phnom Penh,11.55,104.91
2015-05-27,35.8,26.3,0.4,17.8,Phnom Penh,11.55,104.91
2015-05-28,35.4,26.1,0.2,15.3,Phnom Penh,11.55,104.91
2015-05-29,35.9,26.7,1.0,15.0,Phnom Penh,11.55,104.91
2015-05-30,35.1,26.5,4.3,16.3,Phnom Penh,11.55,104.91
2015-05-31,37.0,26.1,0.5,13.9,Phnom Penh,11.55,104.91
2015-06-01,37.2,26.3,0.9,16.5,Phnom Penh,11.55,104.91
2015-06-02,35.9,27.5,1.8,20.1,Phnom Penh,11.55,104.91
2015-06-03,36.2,26.3,1.6,13.9,Phnom Penh,11.55,104.91
2015-06-04,36.2,26.1,0.0,10.9,Phnom Penh,11.55,104.91
2015-06-05,37.0,27.2,0.1,16.6,Phnom Penh,11.55,104.91
2015-06-06,36.6,27.8,3.5,8.0,Phnom Penh,11.55,104.91
2015-06-07,35.0,27.6,6.5,13.9,Phnom Penh,11.55,104.91
2015-06-08,36.8,26.5,2.6,19.3,Phnom Penh,11.55,104.91
2015-06-09,36.2,25.9,0.2,14.8,Phnom Penh,11.55,104.91
2015-06-10,37.1,26.9,2.2,15.4,Phnom Penh,11.55,104.91
2015-06-11,36.7,27.2,0.8,16.5,Phnom Penh,11.55,104.91
2015-06-12,36.2,27.2,3.4,15.2,Phnom Penh,11.55,104.91
2015-06-13,35.7,27.1,3.6,14.9,Phnom Penh,11.55,104.91
2015-06-14,34.3,25.9,9.1,18.1,Phnom Penh,11.55,104.91
2015-06-15,32.7,25.7,5.5,14.8,Phnom Penh,11.55,104.91
2015-06-16,31.5,25.6,16.0,10.0,Phnom Penh,11.55,104.91
2015-06-17,30.7,24.8,10.2,12.1,Phnom Penh,11.55,104.91
2015-06-18,31.9,24.9,2.5,17.6,Phnom Penh,11.55,104.91
2015-06-19,32.7,25.1,2.3,12.2,Phnom Penh,11.55,104.91
2015-06-20,31.6,25.1,5.5,16.4,Phnom Penh,11.55,104.91
2015-06-21,30.6,25.7,2.7,19.5,Phnom Penh,11.55,104.91
2015-06-22,31.8,26.2,2.5,19.0,Phnom Penh,11.55,104.91
2015-06-23,31.5,25.6,1.5,16.1,Phnom Penh,11.55,104.91
2015-06-24,29.3,24.4,9.1,19.9,Phnom Penh,11.55,104.91
2015-06-25,29.3,24.5,9.9,15.7,Phnom Penh,11.55,104.91
2015-06-26,29.5,25.0,2.1,15.5,Phnom Penh,11.55,104.91
2015-06-27,32.8,24.2,1.4,15.9,Phnom Penh,11.55,104.91
2015-06-28,33.5,24.5,0.0,11.6,Phnom Penh,11.55,104.91
2015-06-29,33.6,25.8,2.3,16.3,Phnom Penh,11.55,104.91
2015-06-30,33.9,25.8,0.0,15.2,Phnom Penh,11.55,104.91
2015-07-01,34.8,26.3,2.2,19.1,Phnom Penh,11.55,104.91
2015-07-02,34.5,26.6,0.2,18.3,Phnom Penh,11.55,104.91
